imdb,metascore,movie,votes,year
8.5,68,Avengers: Infinity War,667105,(2018)
7.3,88,Black Panther,514171,(2018)
7.8,66,Deadpool 2,389509,(2018)
8.1,49,Bohemian Rhapsody,342427,(2018)
7.6,82,A Quiet Place,303571,(2018)
7.5,64,Ready Player One,300635,(2018)
6.7,35,Venom,273677,(2018)
7.1,55,Aquaman,260206,(2018)
7.8,88,A Star Is Born,246740,(2018)
7.1,70,Ant-Man and the Wasp,242444,(2018)
7.8,86,Mission: Impossible - Fallout,232648,(2018)
6.9,79,Annihilation,227854,(2018)
7.0,62,Solo: A Star Wars Story,225123,(2018)
6.2,51,Jurassic World: Fallen Kingdom,218264,(2018)
6.6,51,Bird Box,216660,(2018)
8.5,87,Spider-Man: Into the Spider-Verse,207769,(2018)
7.7,80,Incredibles 2,202479,(2018)
8.3,69,Green Book,201733,(2018)
6.3,48,Tomb Raider,163046,(2018)
7.0,66,Game Night,162589,(I) (2018)
6.6,52,Fantastic Beasts: The Crimes of Grindelwald,162105,(2018)
7.3,87,Hereditary,150555,(2018)
7.5,83,BlacKkKlansman,147648,(2018)
6.2,61,Ocean's 8,144023,(2018)
6.6,53,Red Sparrow,136261,(2018)
7.4,84,First Man,119194,(2018)
6.1,45,Rampage,115395,(2018)
7.6,90,The Favourite,114883,(2018)
5.7,46,The Meg,112615,(2018)
7.9,82,Isle of Dogs,107730,(2018)
7.8,96,Roma,106182,(2018)
7.6,67,Upgrade,104306,(2018)
6.7,50,The Equalizer 2,97264,(2018)
7.7,71,Searching,96818,(III) (2018)
7.0,74,Crazy Rich Asians,95518,(2018)
7.1,61,Sicario: Day of the Soldado,95064,(2018)
5.4,48,The Predator,94302,(2018)
6.9,66,Bumblebee,92934,(2018)
6.2,50,Maze Runner: The Death Cure,90976,(2018)
5.6,44,Pacific Rim: Uprising,89104,(2018)
5.4,46,The Nun,88685,(2018)
6.6,67,Halloween,87604,(I) (2018)
7.3,79,The Ballad of Buster Scruggs,86848,(2018)
7.1,71,Ralph Breaks the Internet,84778,(2018)
7.1,60,Bad Times at the El Royale,84655,(2018)
6.5,56,Tag,84409,(I) (2018)
5.6,37,The Cloverfield Paradox,83006,(2018)
6.9,67,A Simple Favor,82822,(2018)
6.3,56,The Commuter,82803,(I) (2018)
7.6,72,"Love, Simon",81165,(2018)
5.8,51,Skyscraper,80745,(2018)
7.2,66,Creed II,71785,(2018)
7.2,61,Vice,71665,(I) (2018)
6.1,44,Mortal Engines,69460,(2018)
7.0,49,Den of Thieves,69412,(2018)
7.3,64,To All the Boys I've Loved Before,62333,(2018)
7.0,84,Widows,61120,(2018)
6.8,60,Mamma Mia! Here We Go Again,59981,(2018)
7.1,58,The Mule,57543,(2018)
6.2,69,Blockers,56879,(2018)
6.7,60,Overlord,55560,(2018)
7.3,60,Christopher Robin,52204,(2018)
6.9,66,Mary Poppins Returns,51524,(2018)
6.4,31,Death Wish,50071,(2018)
6.6,54,12 Strong,49926,(2018)
6.1,38,Mile 22,47417,(2018)
6.0,52,The Spy Who Dumped Me,47404,(2018)
6.2,39,Johnny English Strikes Again,46656,(2018)
7.4,57,Instant Family,46055,(2018)
6.5,51,Mowgli: Legend of the Jungle,44937,(2018)
7.0,59,Outlaw King,44761,(2018)
6.6,81,Mandy,44098,(2018)
4.5,31,Fifty Shades Freed,43750,(2018)
7.5,89,Eighth Grade,42935,(2018)
6.3,54,Hotel Transylvania 3: Summer Vacation,42051,(2018)
5.7,49,Insidious: The Last Key,41957,(2018)
6.7,63,Alpha,41551,(2018)
5.1,54,The First Purge,41492,(2018)
5.3,32,Robin Hood,41074,(2018)
7.0,75,Tully,41022,(2018)
7.0,80,Sorry to Bother You,40001,(2018)
5.4,48,I Feel Pretty,39750,(2018)
5.8,40,Extinction,37234,(2018)
6.8,64,Suspiria,36845,(I) (2018)
5.0,36,How It Ends,36298,(2018)
6.5,29,Peppermint,35554,(2018)
6.9,42,The House That Jack Built,35220,(2018)
7.1,52,The Christmas Chronicles,35157,(2018)
4.2,53,A Wrinkle in Time,34782,(2018)
6.4,36,When We First Met,34696,(2018)
6.6,56,Adrift,33885,(I) (2018)
7.2,88,Leave No Trace,33619,(2018)
6.6,43,Hunter Killer,33484,(2018)
5.1,35,Truth or Dare,33420,(I) (2018)
7.6,90,Cold War,33141,(2018)
6.1,57,The House with a Clock in Its Walls,32785,(2018)
6.5,62,Set It Up,32117,(2018)
6.4,63,Unsane,31889,(2018)
7.0,78,The Sisters Brothers,31771,(2018)
8.2,83,Free Solo,31733,(2018)
8.0,93,Shoplifters,30771,(2018)
6.1,58,Hotel Artemis,30363,(2018)
7.3,62,Beautiful Boy,30062,(I) (2018)
6.3,51,The Grinch,29498,(2018)
6.3,62,Apostle,29378,(2018)
7.2,87,Can You Ever Forgive Me?,29067,(2018)
6.1,54,Anon,29036,(I) (2018)
7.0,68,American Animals,28744,(2018)
6.6,51,Peter Rabbit,27788,(2018)
6.1,43,The Girl in the Spider's Web,27696,(2018)
5.9,60,Sierra Burgess Is a Loser,26841,(2018)
5.6,63,Hold the Dark,26694,(2018)
6.8,80,The Old Man & the Gun,25675,(2018)
5.5,46,Life of the Party,25643,(I) (2018)
5.9,42,Overboard,25423,(2018)
5.4,35,Mute,25252,(II) (2018)
7.2,87,If Beale Street Could Talk,25152,(2018)
7.5,83,The Guilty,24921,(2018)
